iter	Logloss
243	0.4499011272
244	0.4498581696
245	0.449803823
246	0.4497687283
247	0.4497219025
248	0.4496447163
249	0.4495973992
250	0.4495561511
251	0.4495005773
252	0.4494383966
253	0.4493927774
254	0.4493587109
255	0.4493103074
256	0.4492509674
257	0.4492275803
258	0.4491445308
259	0.4491050107
260	0.4490530724
261	0.4490076349
262	0.4489647331
263	0.4489163689
264	0.4488713349
265	0.4488493633
266	0.4487645966
267	0.4487375802
268	0.448707503
269	0.4486324454
270	0.4486097183
271	0.4485622637
272	0.4485343487
273	0.4484878308
274	0.4484658536
275	0.4484348121
276	0.4483898256
277	0.4482922598
278	0.4482775311
279	0.4482384199
280	0.4482113873
281	0.4481582814
282	0.448125813
283	0.4480791143
284	0.4480083469
285	0.4479689849
286	0.4479211839
287	0.447878694
288	0.4478082745
289	0.4477639233
290	0.44772795
291	0.4476568848
292	0.4476068987
293	0.447579044
294	0.4475566367
295	0.4475381372
296	0.4474946924
297	0.447475642
298	0.4474165898
299	0.447379189
300	0.4473184996
301	0.4472850265
302	0.4472521342
303	0.4472382115
304	0.447218249
305	0.4472049854
306	0.447174509
307	0.4471387538
308	0.4470879395
309	0.4470425143
310	0.4470096038
311	0.4469622501
312	0.446907537
313	0.4468912327
314	0.4468748026
315	0.4468516374
316	0.4468177533
317	0.4467495395
318	0.4467062431
319	0.4466573731
320	0.4466222169
321	0.4465689821
322	0.4465084029
323	0.4465015555
324	0.4464357804
325	0.446335144
326	0.4462943546
327	0.4462549744
328	0.4462043496
329	0.446154027
330	0.4461082813
331	0.4460395994
332	0.4460186968
333	0.4459813407
334	0.4459312343
335	0.4458705417
336	0.4458250031
337	0.4457887902
338	0.4457786937
